Location_Code,Classification,Filled,Unfilled,Total_Jobs,Filled_Percentage,Unfilled_Percentage
R013,PARAPROFESSIONAL,18,1,19,94.74,5.26
R013,SPANISH SPEAKING PARA,0,2,2,0,100
R016,PARAPROFESSIONAL,60,11,71,84.51,15.49
R018,PARAPROFESSIONAL,87,0,87,100,0
R018,SPANISH SPEAKING PARA,21,0,21,100,0
R019,PARAPROFESSIONAL,106,19,125,84.8,15.2
R019,SPANISH SPEAKING PARA,21,0,21,100,0
R019,MALE PARA,9,2,11,81.82,18.18
R020,PARAPROFESSIONAL,14,12,26,53.85,46.15
R021,PARAPROFESSIONAL,49,2,51,96.08,3.92
R022,PARAPROFESSIONAL,13,0,13,100,0
R022,URDU SPEAKING PARA,5,1,6,83.33,16.67
R023,PARAPROFESSIONAL,21,5,26,80.77,19.23
R024,SPANISH SPEAKING PARA,5,5,10,50,50
R024,PARAPROFESSIONAL,0,4,4,0,100
R025,PARAPROFESSIONAL,840,13,853,98.48,1.52
R026,PARAPROFESSIONAL,35,5,40,87.5,12.5
R027,PARAPROFESSIONAL,129,0,129,100,0
R028,PARAPROFESSIONAL,250,5,255,98.04,1.96
R029,PARAPROFESSIONAL,163,5,168,97.02,2.98
R030,PARAPROFESSIONAL,67,0,67,100,0
R031,PARAPROFESSIONAL,232,36,268,86.57,13.43
R031,SPANISH SPEAKING PARA,21,0,21,100,0
R031,FEMALE PARA,1,0,1,100,0
R032,PARAPROFESSIONAL,115,2,117,98.29,1.71
R034,PARAPROFESSIONAL,126,0,126,100,0
R036,PARAPROFESSIONAL,60,22,82,73.17,26.83
R037,PARAPROFESSIONAL,1971,94,2065,95.45,4.55
R037,ALBANIAN SPEAKING PARA,21,0,21,100,0
R037,MANDARIN SPEAKING PARA,0,21,21,0,100
R037,RUSSIAN SPEAKING PARA,21,0,21,100,0
R038,PARAPROFESSIONAL,96,3,99,96.97,3.03
R038,MANDARIN SPEAKING PARA,10,11,21,47.62,52.38
R038,UKRAINIAN SPEAKING PARA,0,21,21,0,100
R038,SPANISH SPEAKING PARA,6,0,6,100,0
R039,PARAPROFESSIONAL,72,0,72,100,0
R039,ARABIC SPEAKING PARA,21,0,21,100,0
R041,PARAPROFESSIONAL,99,9,108,91.67,8.33
R041,MANDARIN SPEAKING PARA,14,0,14,100,0
R041,RUSSIAN SPEAKING PARA,0,6,6,0,100
R042,PARAPROFESSIONAL,321,19,340,94.41,5.59
R044,PARAPROFESSIONAL,170,25,195,87.18,12.82
R044,SPANISH SPEAKING PARA,3,13,16,18.75,81.25
R045,PARAPROFESSIONAL,173,35,208,83.17,16.83
R046,PARAPROFESSIONAL,68,12,80,85,15
R047,PARAPROFESSIONAL,37,3,40,92.5,7.5
R048,PARAPROFESSIONAL,234,0,234,100,0
R049,PARAPROFESSIONAL,42,22,64,65.62,34.38
R050,PARAPROFESSIONAL,42,0,42,100,0
R052,PARAPROFESSIONAL,79,4,83,95.18,4.82
R053,PARAPROFESSIONAL,10,4,14,71.43,28.57
R054,PARAPROFESSIONAL,89,1,90,98.89,1.11
R055,PARAPROFESSIONAL,203,5,208,97.6,2.4
R056,PARAPROFESSIONAL,77,5,82,93.9,6.1
R057,PARAPROFESSIONAL,27,7,34,79.41,20.59
R057,SPANISH SPEAKING PARA,0,1,1,0,100
R058,PARAPROFESSIONAL,90,8,98,91.84,8.16
R059,PARAPROFESSIONAL,91,12,103,88.35,11.65
R060,PARAPROFESSIONAL,62,7,69,89.86,10.14
R061,PARAPROFESSIONAL,105,45,150,70,30
R062,PARAPROFESSIONAL,60,1,61,98.36,1.64
R062,RUSSIAN SPEAKING PARA,21,0,21,100,0
R063,PARAPROFESSIONAL,80,4,84,95.24,4.76
R064,PARAPROFESSIONAL,35,0,35,100,0
R068,PARAPROFESSIONAL,241,13,254,94.88,5.12
R069,PARAPROFESSIONAL,22,0,22,100,0
R072,PARAPROFESSIONAL,42,0,42,100,0
R074,PARAPROFESSIONAL,37,24,61,60.66,39.34
R074,SPANISH SPEAKING PARA,0,3,3,0,100
R075,PARAPROFESSIONAL,5,40,45,11.11,88.89
R075,ABAZA SPEAKING PARA,0,20,20,0,100
R078,PARAPROFESSIONAL,219,40,259,84.56,15.44
R078,FEMALE SPANISH SPEAKING PARA,14,7,21,66.67,33.33
R078,SPANISH SPEAKING PARA,2,0,2,100,0
R080,PARAPROFESSIONAL,189,0,189,100,0
R084,PARAPROFESSIONAL,85,44,129,65.89,34.11
R085,PARAPROFESSIONAL,37,0,37,100,0
R373,PARAPROFESSIONAL,1555,249,1804,86.2,13.8
R373,MALE PARA,21,21,42,50,50
R373,ALBANIAN SPEAKING PARA,21,0,21,100,0
R373,MANDARIN SPEAKING PARA,0,21,21,0,100
R373,SPANISH SPEAKING PARA,21,0,21,100,0
R440,PARAPROFESSIONAL,96,0,96,100,0
R445,PARAPROFESSIONAL,42,0,42,100,0
R450,PARAPROFESSIONAL,63,0,63,100,0
R450,RUSSIAN SPEAKING PARA,0,20,20,0,100
R455,PARAPROFESSIONAL,102,1,103,99.03,0.97
R455,SPANISH SPEAKING PARA,21,0,21,100,0
R455,MANDARIN SPEAKING PARA,7,0,7,100,0
R600,PARAPROFESSIONAL,12,2,14,85.71,14.29
R721,PARAPROFESSIONAL,780,73,853,91.44,8.56
R861,PARAPROFESSIONAL,197,2,199,98.99,1.01
RP31,PARAPROFESSIONAL,866,53,919,94.23,5.77
X001,PARAPROFESSIONAL,303,8,311,97.43,2.57
X003,PARAPROFESSIONAL,60,2,62,96.77,3.23
X004,PARAPROFESSIONAL,197,2,199,98.99,1.01
X004,SPANISH SPEAKING PARA,63,0,63,100,0
X005,PARAPROFESSIONAL,110,26,136,80.88,19.12
X005,SPANISH SPEAKING PARA,21,0,21,100,0
X006,PARAPROFESSIONAL,127,4,131,96.95,3.05
X007,PARAPROFESSIONAL,63,3,66,95.45,4.55
X008,PARAPROFESSIONAL,96,10,106,90.57,9.43
X008,SPANISH SPEAKING PARA,33,0,33,100,0
X009,PARAPROFESSIONAL,115,0,115,100,0
X010,PARAPROFESSIONAL,1868,182,2050,91.12,8.88
X011,PARAPROFESSIONAL,27,1,28,96.43,3.57
X012,PARAPROFESSIONAL,440,77,517,85.11,14.89
X012,FEMALE PARA,63,0,63,100,0
X012,MALE PARA,42,0,42,100,0
X014,PARAPROFESSIONAL,105,2,107,98.13,1.87
X015,PARAPROFESSIONAL,35,4,39,89.74,10.26
X016,PARAPROFESSIONAL,101,10,111,90.99,9.01
X016,SPANISH SPEAKING PARA,1,0,1,100,0
X017,PARAPROFESSIONAL,2163,272,2435,88.83,11.17
X018,PARAPROFESSIONAL,47,8,55,85.45,14.55
X019,PARAPROFESSIONAL,48,17,65,73.85,26.15
X020,PARAPROFESSIONAL,168,7,175,96,4
X021,PARAPROFESSIONAL,168,1,169,99.41,0.59
X022,PARAPROFESSIONAL,105,0,105,100,0
X023,PARAPROFESSIONAL,105,26,131,80.15,19.85
X024,PARAPROFESSIONAL,27,8,35,77.14,22.86
X025,PARAPROFESSIONAL,189,3,192,98.44,1.56
X028,PARAPROFESSIONAL,162,19,181,89.5,10.5
X029,PARAPROFESSIONAL,101,3,104,97.12,2.88
X030,PARAPROFESSIONAL,84,0,84,100,0
X031,PARAPROFESSIONAL,107,9,116,92.24,7.76
X032,PARAPROFESSIONAL,223,7,230,96.96,3.04
X033,PARAPROFESSIONAL,126,11,137,91.97,8.03
X035,PARAPROFESSIONAL,126,1,127,99.21,0.79
X035,MALE PARA,21,0,21,100,0
X035,SPANISH SPEAKING PARA,21,0,21,100,0
X036,FEMALE PARA,56,0,56,100,0
X037,PARAPROFESSIONAL,42,1,43,97.67,2.33
X041,PARAPROFESSIONAL,70,16,86,81.4,18.6
X042,PARAPROFESSIONAL,265,0,265,100,0
X043,PARAPROFESSIONAL,161,3,164,98.17,1.83
X044,PARAPROFESSIONAL,45,3,48,93.75,6.25
X045,SPANISH SPEAKING PARA,30,0,30,100,0
X045,PARAPROFESSIONAL,26,0,26,100,0
X045,FEMALE SPANISH SPEAKING PARA,21,0,21,100,0
X046,PARAPROFESSIONAL,201,8,209,96.17,3.83
X047,PARAPROFESSIONAL,191,36,227,84.14,15.86
X048,PARAPROFESSIONAL,135,32,167,80.84,19.16
X049,PARAPROFESSIONAL,108,16,124,87.1,12.9
X051,PARAPROFESSIONAL,13,24,37,35.14,64.86
X053,PARAPROFESSIONAL,135,0,135,100,0
X054,PARAPROFESSIONAL,67,7,74,90.54,9.46
X055,PARAPROFESSIONAL,44,3,47,93.62,6.38
X056,PARAPROFESSIONAL,206,2,208,99.04,0.96
X057,PARAPROFESSIONAL,13,10,23,56.52,43.48
X058,MALE PARA,29,13,42,69.05,30.95
X059,PARAPROFESSIONAL,193,10,203,95.07,4.93
